	id	keywords	text	timestamp	language	user_id	hashtags	geo	coordinates	place	user_timezone
971	479366605739028480	fuel prices	@AP_Joan_Lowy 12 cent tax hike. Why can't they hold gas price at $3.50 and take $.25 of that cost for roads. Fuel prices r crazy. Stability.	1403110479.0	en	2296362522		{u'type': u'Point', u'coordinates': [43.079661, -86.226431]}	{u'type': u'Point', u'coordinates': [-86.226431, 43.079661]}	{u'full_name': u'Ferrysburg, MI', u'url': u'https://api.twitter.com/1.1/geo/id/3acad445de73af29.json', u'country': u'United States', u'place_type': u'city', u'bounding_box': {u'type': u'Polygon', u'coordinates': [[[-86.256186, 43.073228], [-86.256186, 43.096056], [-86.18654, 43.096056], [-86.18654, 43.073228]]]}, u'country_code': u'US', u'attributes': {}, u'id': u'3acad445de73af29', u'name': u'Ferrysburg'}	
972	479374872687017984	oil charts	Iraq’s Impact On Global Oil In Four Easy Charts http://t.co/mi9O4gqAFM	1403112450.0	en	17176166					Pacific Time (US & Canada)
973	479382665691693056	oil prices	RT @NYDailyNews: Gas prices rising as militant attacks raise fears over OPEC oil production in Iraq. http://t.co/vfayy5BjB8	1403114308.0	en	1944832135					Eastern Time (US & Canada)
974	479392220332576768	oil price	FTSE climbs as high oil price pushes up energy shares: LONDON, June 18 (Reuters) - Britain's top equity index... http://t.co/9saCDS7u8b	1403116586.0	en	383867563					Hawaii
975	479392224522686464	oil price	FTSE climbs as high oil price pushes up energy shares: LONDON, June 18 (Reuters) - Oil companies lifted Britain's... http://t.co/Dbihkt545V	1403116587.0	en	383867563					Hawaii
976	479394397180944384	oil companies	RT @offroadartist: Why is it that #Norway rules the oil companies but the oil companies rule Canada?  #cdnpoli #NorthernGateway	1403117105.0	en	1228626410	Norway#cdnpoli#NorthernGateway				America/Chicago
977	479401552646774784	oil companies	RT @energyintel: Shares of Kurdistan-focused oil companies have taken a hit since fighting broke out in Iraq early last week http://t.co/HM…	1403118811.0	en	225423130					Paris
978	479405809894711297	crude oil	Oakland City Council votes to oppose coal, crude oil trains - SAN FRANCISCO, June 18 (Reuters) - The Oakland City ... http://t.co/wdtZ95xzQe	1403119826.0	en	1643374520					
979	479414143980937216	crude oil	RT @WCnativenews: Husky Oil spills 9,000 Litres of Crude Oil http://t.co/VA1AFLz8t9 Marks there 20 Incident total over 183,000 Litres #Albe…	1403121813.0	en	331595653	Alberta#cndpoli				
980	479420401877913601	oil prices	RT @InGodIDoTrust: ISIS Fails To Seize Iraq’s Largest Oil Refinery. Gas prices better go down now. #tcot	1403123305.0	en	472589320	tcot				
